Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your age?,What is your sex?,What is your ethnicity?,"If you selected ""more than one"" or ""other,"" please explain:",Please choose the highest level of education that your parents attained (choose one),Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Using the 7-point scale below, please indicate the
extent to which you have felt this way in the past 24 hours: - Happy","Using the 7-point scale below, please indicate the
extent to which you have felt this way in the past 24 hours: - Worried / Anxious","Using the 7-point scale below, please indicate the
extent to which you have felt this way in the past 24 hours: - Pleased","Using the 7-point scale below, please indicate the
extent to which you have felt this way in the past 24 hours: - Angry / Hostile","Using the 7-point scale below, please indicate the
extent to which you have felt this way in the past 24 hours: - Frustrated","Using the 7-point scale below, please indicate the
extent to which you have felt this way in the past 24 hours: - Depressed / Blue","Using the 7-point scale below, please indicate the
extent to which you have felt this way in the past 24 hours: - Relaxed / Calm","Using the 7-point scale below, please indicate the
extent to which you have felt this way in the past 24 hours: - Unhappy","Using the 7-point scale below, please indicate the
extent to which you have felt this way in the past 24 hours: - Enjoyment / Fun","Using the 7-point scale below, please indicate the
extent to which you have felt this way in the past 24 hours: - Peaceful / Serene","Using the 7-point scale below, please indicate the
extent to which you have felt this way in the past 24 hours: - Dull / Bored","Using the 7-point scale below, please indicate the
extent to which you have felt this way in the past 24 hours: - Joyful",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please
rate your agreement with each of the five statements below. Use the 7-point
scale provided. - In most ways my life is close to my ideal","Please
rate your agreement with each of the five statements below. Use the 7-point
scale provided. - The conditions of my life are excellent","Please
rate your agreement with each of the five statements below. Use the 7-point
scale provided. - I am satisfied with my life","Please
rate your agreement with each of the five statements below. Use the 7-point
scale provided. - So far I have gotten the important things I want in life","Please
rate your agreement with each of the five statements below. Use the 7-point
scale provided. - If I could live my life over, I would change almost nothing",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Q39 - I felt a sense of contact with people who care for me, and whom I care for",Q39 - I was lonely,Q39 - I felt close and connected with other people who are important to me,Q39 - I felt unappreciated by one or more important people,Q39 - I felt a strong sense of intimacy with the people I spent time with,Q41 - I had disagreement or conflicts with people I usually get along with,Q41 - I was successfully completing difficult tasks and projects,"Q41 - I experienced some kind of failure, or was unable to do well at something",Q41 - I took on and mastered hard challenges,"Q41 - I did something stupid, that made me feel incompetent",Q43 - I did well even at the hard things,Q43 - I struggled doing something I should be good at,Q43 - I was free to do things my own way,Q43 - I had a lot of pressures I could do without,Q43 - My choices expressed my true self,Q45 - There were people telling me what I had to do,Q45 - I was really doing what interests me,Q45 - I had to do things against my will,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Condition
1/11/18 15:15,1/11/18 15:21,0,100,354,1,1/11/18 15:21,R_2QxrXaQ8bohsIae,,,,,anonymous,EN,5.744,5.744,9.796,1,18,2,6,,4,1.98,34.501,39.58,10,3,4,2,3,1,4,3,2,3,2,6,3,14.34,61.749,62.999,21,3,3,3,3,2,38.977,131.541,133.364,6,3,3,3,4,4,4,2,4,1,4,1,3,3,1,2,3,2,2,0.867,96.41,98.123,27,3
1/11/18 15:26,1/11/18 15:28,0,100,152,1,1/11/18 15:28,R_1lsBaFkW5nJ5G7H,,,,,anonymous,EN,0,0,8.561,0,19,2,2,,2,3.638,25.003,26.878,6,3,4,3,1,2,2,3,2,3,2,3,3,20.842,44.761,45.876,16,3,3,3,3,1,8.235,21.171,22.566,7,3,2,3,3,2,2,2,3,2,3,3,4,3,5,3,4,3,4,4.787,40.804,41.427,21,3
1/11/18 15:38,1/11/18 15:43,0,100,285,1,1/11/18 15:43,R_12bBV4P154RGQOn,,,,,anonymous,EN,15.91,40.069,41.211,3,18,2,2,,5,9.329,42.64,43.45,9,,6,,,6,6,,6,4,,4,4,5.725,49.827,51.03,14,3,3,3,2,1,14.358,34.582,35.917,6,5,4,3,3,2,1,3,5,1,5,1,3,5,5,3,5,5,3,7.052,79.234,79.87,21,1
1/11/18 15:41,1/11/18 15:46,0,100,249,1,1/11/18 15:46,R_1jlDNSTTRu6wJ65,,,,,anonymous,EN,0,0,28.357,0,18,2,6,,3,3.651,41.116,42.756,6,2,4,2,4,5,5,2,4,3,3,4,3,17.621,79.949,80.852,15,3,5,3,5,3,8.867,22.982,23.91,5,3,3,2,2,2,3,4,2,2,3,3,2,4,4,4,2,3,2,6.205,61.343,62.513,18,4
1/11/18 15:49,1/11/18 15:52,0,100,195,1,1/11/18 15:52,R_1GIE1B95aKlmH0y,,,,,anonymous,EN,0,0,20.767,0,19,2,2,,5,0.92,14.337,16.261,4,4,5,4,1,2,3,6,4,4,2,3,2,8.237,42.352,43.236,12,1,7,1,1,1,2.725,13.006,14.569,5,5,1,3,1,5,1,1,5,1,1,1,5,1,5,1,5,2,3,8.604,69.726,70.571,21,2
1/11/18 16:11,1/11/18 16:16,0,100,326,1,1/11/18 16:16,R_1PYNBdpwgrzurwT,,,,,anonymous,EN,0,0,6.717,0,21,2,7,White and Hispanic,3,3.445,30.443,32.642,8,5,6,4,2,4,3,4,2,5,4,1,3,10.819,62.161,63.157,12,3,6,5,4,1,6.634,25.037,27.299,6,3,2,4,3,3,1,2,2,1,3,2,3,2,4,3,3,3,2,5.916,156.451,163.673,23,2
1/11/18 16:23,1/11/18 16:32,0,100,502,1,1/11/18 16:32,R_pz0LkWAX40EY157,,,,,anonymous,EN,4.419,6.348,9.028,2,18,2,6,,2,1.035,180.358,184.067,25,3,7,2,1,7,6,1,5,1,1,5,2,10.535,49.694,51.913,35,4,4,4,4,2,5.963,26.945,28.104,10,2,5,2,4,2,4,2,4,1,4,2,3,2,4,2,1,1,1,7.365,165.755,167.01,51,2
1/11/18 16:50,1/11/18 16:55,0,100,297,1,1/11/18 16:55,R_2P1iH5QqPO8C8TP,,,,,anonymous,EN,5.513,5.513,6.911,1,18,1,6,,3,1.282,29.394,30.441,13,5,5,5,1,4,1,7,4,4,7,1,3,125.482,151.125,151.637,15,6,6,6,6,7,8.786,20.968,21.852,6,3,1,4,1,2,1,3,1,3,2,3,2,3,2,4,1,5,1,3.733,71.616,72.775,23,2
1/11/18 16:52,1/11/18 17:01,0,100,560,1,1/11/18 17:01,R_3gRhgi5Hjn4DEKv,,,,,anonymous,EN,0,0,52.353,0,18,2,8,Filipino,2,1.466,192.455,193.449,7,5,5,4,1,1,6,6,3,4,4,3,2,29.89,71.885,73.375,16,3,6,5,3,4,9.592,47.311,48.247,11,3,4,3,4,3,1,2,4,2,3,3,3,2,1,4,3,2,2,10.201,153.665,154.184,22,1
1/11/18 17:04,1/11/18 17:11,0,100,405,1,1/11/18 17:11,R_d3WFOOpklWzsAmJ,,,,,anonymous,EN,0,0,122.889,0,20,1,6,,3,3.781,34.08,35.704,7,4,6,4,1,2,3,3,3,3,4,3,4,19.196,59.799,61.032,14,2,3,2,3,1,11.458,25.012,34.168,5,4,3,2,2,2,1,3,1,2,1,3,1,3,4,3,3,3,1,9.436,80.097,81.494,20,1
